"","code_location","pretty_location","group","date","code_name","value"
"341","Skagit","Skagit","foster_care_trend",2008,"trend_0",3.8
"342","Skamania","Skamania","foster_care_trend",2008,"trend_0",5.66111111111111
"343","Snohomish","Snohomish","foster_care_trend",2008,"trend_0",3.72
"344","Spokane","Spokane","foster_care_trend",2008,"trend_0",6.55
"345","Stevens","Stevens","foster_care_trend",2008,"trend_0",5.45
"346","Thurston","Thurston","foster_care_trend",2008,"trend_0",3.47
"347","Wahkiakum","Wahkiakum","foster_care_trend",2008,"trend_0",5.66111111111111
"348","Walla_Walla","Walla Walla","foster_care_trend",2008,"trend_0",2.64
"349","Whatcom","Whatcom","foster_care_trend",2008,"trend_0",4.76
"350","Whitman","Whitman","foster_care_trend",2008,"trend_0",4.86
"351","Yakima","Yakima","foster_care_trend",2008,"trend_0",7.44
"352","Adams","Adams","foster_care_trend",2009,"trend_0",5.17
"353","Asotin","Asotin","foster_care_trend",2009,"trend_0",0.84
"354","Benton","Benton","foster_care_trend",2009,"trend_0",5.53
"355","Chelan","Chelan","foster_care_trend",2009,"trend_0",3.96
"356","Clallam","Clallam","foster_care_trend",2009,"trend_0",6.69
"357","Clark","Clark","foster_care_trend",2009,"trend_0",5.75
"358","Columbia","Columbia","foster_care_trend",2009,"trend_0",5.17
"359","Cowlitz","Cowlitz","foster_care_trend",2009,"trend_0",4.5
"360","Douglas","Douglas","foster_care_trend",2009,"trend_0",0.67
"361","Ferry","Ferry","foster_care_trend",2009,"trend_0",5.17
"362","Franklin","Franklin","foster_care_trend",2009,"trend_0",1.33
"363","Garfield","Garfield","foster_care_trend",2009,"trend_0",5.17
"364","Grant","Grant","foster_care_trend",2009,"trend_0",3.35
"365","Grays_Harbor","Grays Harbor","foster_care_trend",2009,"trend_0",7.67
"366","Island","Island","foster_care_trend",2009,"trend_0",2.1
"367","Jefferson","Jefferson","foster_care_trend",2009,"trend_0",6.13
"368","King","King","foster_care_trend",2009,"trend_0",2.31
"369","Kitsap","Kitsap","foster_care_trend",2009,"trend_0",4.17
"370","Kittitas","Kittitas","foster_care_trend",2009,"trend_0",3.75
"371","Klickitat","Klickitat","foster_care_trend",2009,"trend_0",8.81
"372","Lewis","Lewis","foster_care_trend",2009,"trend_0",3.69
"373","Lincoln","Lincoln","foster_care_trend",2009,"trend_0",5.17
"374","Mason","Mason","foster_care_trend",2009,"trend_0",7.25
"375","Okanogan","Okanogan","foster_care_trend",2009,"trend_0",5.11
"376","Pacific","Pacific","foster_care_trend",2009,"trend_0",5.23
"377","Pend_Oreille","Pend Oreille","foster_care_trend",2009,"trend_0",5.17
"378","Pierce","Pierce","foster_care_trend",2009,"trend_0",5.56
"379","San_Juan","San Juan","foster_care_trend",2009,"trend_0",5.17
"380","Skagit","Skagit","foster_care_trend",2009,"trend_0",3.26
"381","Skamania","Skamania","foster_care_trend",2009,"trend_0",5.17
"382","Snohomish","Snohomish","foster_care_trend",2009,"trend_0",3.33
"383","Spokane","Spokane","foster_care_trend",2009,"trend_0",5.22
"384","Stevens","Stevens","foster_care_trend",2009,"trend_0",4.59
"385","Thurston","Thurston","foster_care_trend",2009,"trend_0",3.08
"386","Wahkiakum","Wahkiakum","foster_care_trend",2009,"trend_0",5.17
"387","Walla_Walla","Walla Walla","foster_care_trend",2009,"trend_0",4.3
